"id","state","name"
"CA006136336","Ohio","ON PELEE ISLAND A"
"CA006136339","Ohio","ON PELEE ISLAND U OF W"
"CA006137323","Michigan","ON ST JOACHIM"
"CA006137937","Ohio","ON SOUTHEAST SHOAL (AUT)"
"CA006139520","Michigan","ON WINDSOR RIVERSIDE"
"CA006139533","Michigan","ON WINDSOR FORD PLANT"
"CA006139538","Michigan","ON WINDSOR UNIVERSITY"
"CA006139600","Michigan","ON WOODSLEE CDA"
"CA006139602","Michigan","ON WOODSLEE CDA AUTOMATIC CLIMATE"
"CA00613FN58","Ohio","ON POINT PELEE"
"CA00613N001","New York","ON NIAGARA ON THE LAKE GOLF"
"CA00613P001","Ohio","ON POINT PELEE CS"
"CA007020040","Vermont","QC ABERCORN"
"CA007022300","New Hampshire","QC EAST HEREFORD"
"CA007023073","New York","QC HEMMINGFORD"
"CA007026040","Vermont","QC PHILIPSBURG"
"CA007028280","Vermont","QC STANSTEAD"
"CA007028292","Vermont","QC SUTTON"
"CA008100300","Maine","NB AROOSTOOK"
"CA008100570","Maine","NB BROCKWAY"
"CA008101348","Maine","NB EVERETT"
"CA008101900","Maine","NB GRAND FALLS"
"CA008101904","Maine","NB GRAND FALLS DRUMMOND"
"CA008101920","Maine","NB GRAND MANAN"
"CA008101925","Maine","NB GRAND MANAN SAR CS"
"CA008102500","Maine","NB LONG LAKE"
"CA008102600","Maine","NB MCADAM"
"CA008102975","Maine","NB MILLTOWN"
"CA008103700","Maine","NB NICTAU"
"CA008104000","Maine","NB PLASTER ROCK"
"CA008104001","Maine","NB PLASTER ROCK NBEPC"
"CA008104450","Maine","NB RILEY BROOK"
"CA008104935","Maine","NB ST. STEPHEN"
"CA008104936","Maine","NB ST STEPHEN"
"CA008104937","Maine","NB ST STEPHEN (AUT)"
"CA008105000","Maine","NB SISSON DAM"
"CA008105065","Maine","NB SOUTHWEST HEAD"
"CA008105400","Maine","NB TOBIQUE NARROWS"
"CA008105500","Maine","NB TOWER HILL CDA"
"CA008105605","Maine","NB WOODSTOCK GRAFTON"
"CA00810AL00","Maine","NB EDMUNDSTON"
"CA00810JL00","Maine","NB EDMUNDSTON"
"CA00810M937","Maine","NB SEAL COVE"
"CA1BC000021","Alaska","BC TELEGRAPH CREEK"
"CA1BC000051","Washington","BC TSAWWASSEN"
"CA1MB000029","Minnesota","MB EMERSON"
"CA1MB000158","North Dakota","MB LA RIVIERE"
"CA1MB000163","Minnesota","MB PINEY"
"CA1MB000217","Minnesota","MB MENISINO"
"CA1MB000243","Minnesota","MB SUNDOWN"
"CA1MB000298","Minnesota","MB GARDENTON"
"CA1MB000368","Minnesota","MB WHITESHELL"
"CA1MB000372","Minnesota","MB SPRAGUE"
"CA1MB000376","North Dakota","MB PILOT MOUND"
"CA1NB000014","Maine","NB BARTER SETTLEMENT"
"CA1NB000038","Maine","NB GRAND FALLS"
"CA1NB000046","Maine","NB MACES BAY"
"CA1NB000049","Maine","NB MILLTOWN"
"CA1NB000083","Maine","NB ST. STEPHEN"
"CA1NB000101","Maine","NB GRAND HARBOUR"
"CA1NB000104","Maine","NB PENNFIELD RIDGE"
"CA1NB000105","Maine","NB SISSON BROOK"
"CA1ON000076","Minnesota","ON EMO"
"CA1ON000102","Michigan","ON LA SALLE"
"CA1ON000131","Michigan","ON TECUMSEH"
"CA1ON000133","New York","ON CARDINAL"
"CA1ON000272","Michigan","ON BELLE RIVER"
"CA1ON000278","Michigan","ON TECUMSEH"
"CA1ON000283","Michigan","ON BELLE RIVER"
"CA1ON000285","Michigan","ON LEAMINGTON"
"CA1ON000291","Michigan","ON TECUMSEH"
"CA1ON000299","Michigan","ON LEAMINGTON"
"CA1ON000302","Michigan","ON WINDSOR"
"CA1ON000306","Michigan","ON WHEATLEY"
"CA1ON000310","Michigan","ON TECUMSEH"
"CA1ON000311","Michigan","ON TECUMSEH"
"CA1ON000312","Michigan","ON NORTH WOODSLEE"
"CA1ON000314","Michigan","ON TECUMSEH"
"CA1ON000320","Michigan","ON WINDSOR"
"CA1ON000330","Michigan","ON BELLE RIVER"
"CA1ON000332","Michigan","ON TECUMSEH"
"CA1ON000333","Michigan","ON TECUMSEH"
"CA1ON000336","Michigan","ON TECUMSEH"
"CA1ON000385","Michigan","ON ESSEX"
"CA1ON000395","Michigan","ON WALLACEBURG"
"CA1ON000427","Michigan","ON COURTRIGHT"
"CA1ON000428","Michigan","ON MOORETOWN"
"CA1ON000562","New York","ON MORRISBURG"
"CA1ON000582","Ohio","ON PELEE ISLAND"
"CA1ON000586","Michigan","ON WALLACEBURG"
"CA1ON000655","Michigan","ON LA SALLE"
"CA1ON000665","Michigan","ON LA SALLE"
"CA1ON000706","New York","ON LUNENBURG"
"CA1ON000754","Michigan","ON TECUMSEH"
"CA1QC000016","Vermont","QC SAINT-ARMAND"
